id,name (LP이름),image,category,수록일자,국가,위치,가수,side1,side2,,,,,memo,비고,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex,Nine Track Mind,images/1758103116_zg3Kp5zFrGN8uaXBSZ9KbQ3ogv-8k2lD0bAoiekJ5gCXowu4ToDkE8dzBV98XH0dpyWAPPyYD7_gyaRxuWjvQA.webp,수입/pop,2016-06-03,미국,A-14,Charlie Puth (찰리 푸스),"ONE CALL AWAY
DANGEROUSLY
MARVIN GAYE
LOSING MY MIND
WE DON'T TALK ANYMORE
MY GOSPEL","UP ALL NIGHT
LEFT RIGHT LEFT
THEN THERE'S YOU
SUFFER
AS YOU ARE
SOME THPE OF LOVE
SEE YOU AGAIN",,,,,"빌보드 싱글 차트 12주 1위 곡 See You Again
히트 싱글 One Call Away
빌보드 싱글 차트 탑 10 We Don’t Talk Anymore로 성장해가고 있는 차세대 초대형 팝 스타 찰리 푸스 Charlie Puth

전 세계를 사로잡은 One Call Away, Marvin Gaye, We Don't Talk Anymore, See You Again 등",,,,,,,,,,,,,
,김현식 2집,,국내/가요,1988,대한민국,A-1-15,김현식,"사랑했어요
회상
어둠 그별빛
떠나기전에
그대 외로워지면
시장에 가면
","바람인줄 알았는데
당신의 모습
너를 기다리며
아무말도 하지말아요
변덕쟁이",,,,,,,,,,,,,,,,,,
,김현식 4집,,국내/가요,1988,대한민국,,김현식,"언제나 그대 내곁에
여름밤의 꿈
한밤중에
이제는
우리네 인생","사랑할 수 없어
그내 내품에
기다리겠소
한국사람
우리처음 만난날",,,,,,,,,,,,,,,,,,
,김현식 5집,,국내/가요,1990,대한민국,,김현식,"향기없는 꽃
넋두리
그거리 그벤취
도시의 밤","거울이 되어
재회
사랑의 나눔이 있는곳
밤의 고독속에서
할렐루야",,,,,,,,,,,,,,,,,,
,김현철 1집,,국내/가요,1989,대한민국,,김현철,"오랜만에
눈이 오는 날이면
춘천가는 기차
아침향기","동네
비가 와
나의 그대는
형",,,,,,,,,,,,,,,,,,
,낯선사람들,,국내/가요,1993,대한민국,,낯선 사람들,"낯선 사람들
동그라미, 네모, 세모
비닐우산
왜 늘...?
색칠을 할까","해의 고민
무대위에
무대위에 Reprise
동물원
버느나무가 있는 공원",,,,,,,,,,,,,,,,,,
,노래를 찾는 사람들1,,국내/가요,1984,대한민국,,노래를 찾는 사람들,"갈 수 없는 고향
바람 씽씽
산하
내눈길 닿는 곳 어디나
그루터기","일요일이 다가는 소리
빼앗긴 들에도 봄은 오는가
기도
바다여 바다여
너와 내가",,,,,,,,,,,,,,,,,,
,노래를 찾는 사람들2,,국내/가요,1989,대한민국,,노래를 찾는 사람들,"솔아솔아 푸르른 솔아
광야에서
사계
마른잎 다시 살아나
그날이 오면","저 평등의 땅에
이산하에
오월의 노래
잠들지 않는 남도",,,,,,,,,,,,,,,,,,
,다섯 손가락 1집,,국내/가요,1985,,,"다섯 손가락(임형순, 이두헌, 박강영, 최태완, 이우빈)","새벽 기차
오늘은 정말
좁은 골목
그대
작은 기쁨","수요일엔 빨간 장미를
슬픈 사랑
고독한 이에게
사라진 가을
시장에 가면",,,,,,,,,,,,,,,,,,
,동서남북,,국내/가요,1980,,,"동서남북(박호준, 이태열, 이동훈, 김득권, 이관형, 김광민, 김준응)","하나가 되어요
모래위에 핀 꽃처럼
바람
밤 비(경음악)","나비
빗줄기
그대",,,,,,,,,,,,,,,,,,
,동물원 1집,,국내/가요,1988,,,동물원,"거리에서
말하지못한 내 사랑
잊혀지는 것
지붕위의 별
어느 하루
무전여행","비결
변해가네
귀 기울여요
그리움
여기서 우리
아! 대한민국",,,,,,,,,,,,,,,,,,
,동물원 2집(두 번째 노래 모음),,국내/가요,1988,대한민국,,동물원,"흐린 가을 하늘에 편지를 써
새장 속의 친구
동물원
이별할때","별빛 가득한 밤에
잘가
길 잃은 아이처럼
혜화동",,,,,,,,,,,,,,,,,,
,들국화 1집,https://i.namu.wiki/i/-9_CcwtIXZ9_Hy658cpEnw6fbFSk75KbcVsFBvUL17Lg_55xRNtS1DhnLWWWX7_9vECYs-89A7qLPcaoSeDb0yFSvqQ9tbAiRX_jkhxCNmkaZyAqPO1x1rQp_mHCxroD2qjNL1UsoWDws9_Bz60dsA.webp,국내/가요,1985,대한민국,,들국화,"행진
그것만이 내세상
세계로 가는 기차
더이상 내게
축복합니다","사랑일뿐이야
매일 그대와
오후만 있던 일요일
아침이 밝아올때까지
우리의 소원",,,,,,,,,,,,,,,,,,
,빛과 소금 1집,https://i.namu.wiki/i/T72pdbIKJmg_7C4WsePL0Yoe07ZqouqnOciRsgBfnIvlYX2SWuovezzLEx3HiXO5g1kDft9QQOAt62YvL7c-y0IS7N2fJrmz1UhRKhN4ThEKE0GpReuH3ZjpoQVfObaQXUcsu6XDiLuwOep5n02aHw.webp,국내/가요,1990,대한민국,A-2-1,빛과 소금,"아침
슬픈 인형
샴푸의 요정
BEAUTIFUL
돌아와줘","빛, 1990(instrumental)
그대 떠난뒤
내겐 노래였어
그녀를 위해(instrumental)",,,,,,,,,,,,,,,,,,
,미선이 1집,https://image.aladin.co.kr/product/2980/88/cover500/6000651806_1.jpg,국내/가요,"1,998₩",,,미선이,"sam
송시
진달래
치질
drifting","섬
shalom
시간
두번째 세상
drifting(instrumental)",,,,,,,,,,,,,,,,,,
